"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2019","1,536.80","1,512.80","1,536.30","1,509.90","0.34K","1.24%"
"Oct 01, 2019","1,518.00","1,502.60","1,520.00","1,499.00","0.22K","1.05%"
"Sep 30, 2019","1,502.30","1,533.00","1,533.00","1,500.10","0.51K","-2.20%"
"Sep 27, 2019","1,536.10","1,538.30","1,538.30","1,525.70","0.17K","-0.58%"
"Sep 26, 2019","1,545.00","1,538.90","1,547.00","1,538.00","0.25K","0.19%"
"Sep 25, 2019","1,542.00","1,572.00","1,572.00","1,539.10","0.25K","-1.79%"
"Sep 24, 2019","1,570.10","1,560.10","1,573.00","1,554.90","0.51K","0.54%"
"Sep 23, 2019","1,561.60","1,556.60","1,562.50","1,556.60","0.02K","1.05%"
"Sep 20, 2019","1,545.30","1,537.80","1,553.50","1,537.80","0.10K","0.58%"
"Sep 19, 2019","1,536.40","1,528.80","1,540.40","1,528.80","0.16K","-0.63%"
"Sep 18, 2019","1,546.10","1,538.90","1,549.00","1,530.40","0.50K","0.13%"
"Sep 17, 2019","1,544.10","1,538.80","1,542.30","1,538.80","0.01K","0.12%"
"Sep 16, 2019","1,542.30","1,542.60","1,546.50","1,536.40","0.69K","0.76%"
"Sep 13, 2019","1,530.70","1,543.40","1,543.40","1,525.60","0.18K","-0.46%"
"Sep 12, 2019","1,537.80","1,530.40","1,558.60","1,530.40","0.41K","0.35%"
"Sep 11, 2019","1,532.40","1,528.80","1,534.40","1,528.80","0.04K","0.28%"
"Sep 10, 2019","1,528.10","1,531.90","1,532.60","1,524.90","0.16K","-0.75%"
"Sep 09, 2019","1,539.60","1,540.10","1,546.60","1,534.10","0.24K","-0.24%"
"Sep 06, 2019","1,543.30","1,551.00","1,559.90","1,539.20","0.06K","-0.62%"
"Sep 05, 2019","1,552.90","1,579.50","1,584.10","1,544.90","0.10K","-2.17%"
"Sep 04, 2019","1,587.40","1,582.70","1,590.70","1,572.00","0.34K","0.27%"
"Sep 03, 2019","1,583.20","1,562.80","1,583.90","1,561.20","0.24K","3.13%"
"Sep 02, 2019","1,535.15","1,537.95","1,540.05","1,528.15","-","-0.19%"
"Sep 01, 2019","1,538.05","1,535.25","1,542.90","1,535.25","-","-1.23%"
"Aug 30, 2019","1,557.20","1,564.10","1,566.90","1,555.00","0.45K","-0.43%"
"Aug 29, 2019","1,564.00","1,571.90","1,578.80","1,562.00","0.25K","-0.72%"
"Aug 28, 2019","1,575.30","1,572.30","1,578.00","1,571.60","0.24K","-0.17%"
"Aug 27, 2019","1,578.00","1,566.20","1,579.30","1,564.60","0.17K","0.95%"
"Aug 26, 2019","1,563.10","1,584.50","1,584.50","1,563.20","0.07K","-0.03%"
"Aug 23, 2019","1,563.50","1,539.00","1,563.50","1,537.30","0.26K","1.90%"
"Aug 22, 2019","1,534.40","1,534.30","1,538.80","1,530.50","0.25K","-0.46%"
"Aug 21, 2019","1,541.50","1,532.70","1,540.60","1,532.70","0.56K","0.01%"
"Aug 20, 2019","1,541.30","1,530.20","1,540.70","1,530.20","0.17K","0.27%"
"Aug 19, 2019","1,537.20","1,543.90","1,543.90","1,531.00","0.35K","-0.77%"
"Aug 16, 2019","1,549.20","1,557.40","1,557.70","1,541.30","0.16K","-0.48%"
"Aug 15, 2019","1,556.70","1,553.00","1,561.20","1,546.00","0.29K","0.17%"
"Aug 14, 2019","1,554.00","1,538.50","1,553.10","1,532.60","0.24K","0.86%"
"Aug 13, 2019","1,540.70","1,556.20","1,571.70","1,523.10","0.07K","-0.15%"
"Aug 12, 2019","1,543.00","1,536.00","1,550.10","1,526.40","0.16K","0.55%"
"Aug 09, 2019","1,534.50","1,542.80","1,543.80","1,535.00","0.09K","-0.03%"
"Aug 08, 2019","1,535.00","1,533.00","1,542.10","1,532.60","0.06K","-0.62%"
"Aug 07, 2019","1,544.60","1,510.60","1,547.70","1,510.60","0.11K","2.31%"
"Aug 06, 2019","1,509.70","1,507.20","1,511.10","1,498.60","0.14K","0.47%"
"Aug 05, 2019","1,502.60","1,487.40","1,505.00","1,487.40","0.07K","1.16%"
"Aug 02, 2019","1,485.30","1,476.20","1,476.20","1,476.20","0.08K","1.63%"
"Aug 01, 2019","1,461.50","1,450.80","1,485.60","1,443.30","0.15K","-0.33%"
"Jul 31, 2019","1,466.30","1,460.50","1,469.60","1,452.90","0.13K","-0.27%"
"Jul 30, 2019","1,470.30","1,469.00","1,472.40","1,469.00","0.02K","0.59%"
"Jul 29, 2019","1,461.70","1,461.70","1,461.70","1,461.70","1.05K","0.09%"
"Jul 26, 2019","1,460.40","1,460.40","1,460.40","1,460.40","0.56K","0.41%"
"Jul 25, 2019","1,454.40","1,465.10","1,468.00","1,456.10","0.81K","-0.58%"
"Jul 24, 2019","1,462.90","1,467.20","1,467.20","1,467.20","0.04K","0.14%"
"Jul 23, 2019","1,460.80","1,458.60","1,459.60","1,458.60","0.25K","-0.35%"
"Jul 22, 2019","1,466.00","1,466.00","1,466.00","1,466.00","0.61K","0.03%"
"Jul 19, 2019","1,465.50","1,483.30","1,487.40","1,461.50","0.02K","-0.12%"
"Jul 18, 2019","1,467.20","1,464.40","1,488.50","1,459.40","0.02K","0.32%"
"Jul 17, 2019","1,462.50","1,455.00","1,467.30","1,455.00","0.02K","0.85%"
"Jul 16, 2019","1,450.20","1,453.40","1,453.40","1,453.40","0.02K","-0.14%"
"Jul 15, 2019","1,452.30","1,452.30","1,452.30","1,452.30","0.99K","0.10%"
"Jul 12, 2019","1,450.90","1,450.90","1,450.90","1,450.90","0.05K","0.39%"
"Jul 11, 2019","1,445.30","1,461.40","1,467.20","1,461.40","0.01K","-0.36%"
"Jul 10, 2019","1,450.50","1,450.50","1,450.50","1,450.50","0.07K","0.85%"
"Jul 09, 2019","1,438.30","1,430.60","1,430.80","1,430.60","0.02K","0.07%"
"Jul 08, 2019","1,437.30","1,436.90","1,436.90","1,436.90","0.05K","0.05%"
"Jul 05, 2019","1,436.60","1,428.00","1,433.00","1,428.00","0.02K","0.92%"
"Jul 04, 2019","1,423.55","1,421.25","1,426.65","1,412.85","-","-2.23%"
"Jul 03, 2019","1,456.00","1,465.50","1,465.50","1,461.90","0.00K","0.91%"
"Jul 02, 2019","1,442.80","1,428.60","1,428.60","1,428.60","0.07K","1.35%"
"Jul 01, 2019","1,423.60","1,444.00","1,444.00","1,424.40","0.01K","-1.60%"
"Jun 28, 2019","1,446.80","1,451.00","1,451.00","1,445.70","0.06K","0.16%"
"Jun 27, 2019","1,444.50","1,444.50","1,444.50","1,444.50","0.06K","-0.23%"
"Jun 26, 2019","1,447.80","1,441.90","1,445.40","1,440.50","0.04K","-0.24%"
"Jun 25, 2019","1,451.30","1,461.30","1,473.90","1,448.70","0.09K","0.03%"
"Jun 24, 2019","1,450.90","1,439.10","1,449.60","1,439.00","0.01K","1.27%"
"Jun 21, 2019","1,432.70","1,444.00","1,444.00","1,419.60","0.02K","0.23%"
"Jun 20, 2019","1,429.40","1,419.10","1,428.70","1,417.40","0.41K","3.25%"
"Jun 19, 2019","1,384.40","1,382.10","1,382.10","1,382.10","0.09K","-0.22%"
"Jun 18, 2019","1,387.40","1,379.70","1,394.50","1,379.70","0.18K","0.57%"
"Jun 17, 2019","1,379.60","1,379.70","1,384.20","1,379.70","0.02K","-0.14%"
"Jun 14, 2019","1,381.50","1,389.20","1,389.20","1,379.80","0.04K","0.06%"
"Jun 13, 2019","1,380.70","1,378.30","1,378.70","1,378.30","0.00K","0.50%"
"Jun 12, 2019","1,373.80","1,373.80","1,373.80","1,373.80","0.01K","0.35%"
"Jun 11, 2019","1,369.00","1,369.00","1,369.00","1,369.00","1.01K","0.15%"
"Jun 10, 2019","1,366.90","1,378.00","1,378.00","1,367.00","0.01K","-1.09%"
"Jun 07, 2019","1,381.90","1,388.50","1,388.50","1,382.40","0.05K","0.25%"
"Jun 06, 2019","1,378.50","1,370.00","1,370.00","1,370.00","0.09K","0.61%"
"Jun 05, 2019","1,370.20","1,376.60","1,376.60","1,368.80","0.16K","0.27%"
"Jun 04, 2019","1,366.50","1,366.50","1,366.50","1,366.50","0.03K","0.09%"
"Jun 03, 2019","1,365.30","1,356.50","1,356.50","1,356.50","0.07K","1.16%"
"May 31, 2019","1,349.60","1,342.90","1,347.80","1,342.90","0.22K","1.25%"
"May 30, 2019","1,332.90","1,332.40","1,332.40","1,332.40","0.33K","0.48%"
"May 29, 2019","1,326.50","1,327.80","1,327.80","1,327.80","0.00K","0.24%"
"May 28, 2019","1,323.30","1,322.60","1,322.60","1,322.60","0.12K","2.98%"
"May 27, 2019","1,284.95","1,284.25","1,286.85","1,283.25","-","0.06%"
"May 26, 2019","1,284.15","1,284.20","1,285.15","1,283.65","-","-3.45%"
"May 24, 2019","1,330.10","1,329.20","1,329.20","1,329.20","0.00K","-0.13%"
"May 23, 2019","1,331.80","1,328.40","1,328.40","1,328.40","0.00K","0.79%"
"May 22, 2019","1,321.30","1,321.30","1,321.30","1,321.30","0.02K","0.09%"
"May 21, 2019","1,320.10","1,320.10","1,320.10","1,320.10","0.10K","-0.31%"
"May 20, 2019","1,324.20","1,324.20","1,324.20","1,324.20","0.08K","0.13%"
"May 17, 2019","1,322.50","1,322.50","1,322.50","1,322.50","0.21K","-0.80%"
"May 16, 2019","1,333.10","1,333.10","1,333.10","1,333.10","0.11K","-0.85%"
"May 15, 2019","1,344.50","1,344.50","1,344.50","1,344.50","0.06K","0.08%"
"May 14, 2019","1,343.40","1,343.40","1,343.40","1,343.40","0.20K","-0.50%"
"May 13, 2019","1,350.20","1,350.20","1,350.20","1,350.20","0.12K","0.97%"
"May 10, 2019","1,337.20","1,337.20","1,337.20","1,337.20","0.05K","0.16%"
"May 09, 2019","1,335.10","1,335.10","1,335.10","1,335.10","0.04K","0.28%"
"May 08, 2019","1,331.40","1,338.00","1,338.00","1,338.00","0.05K","-0.33%"
"May 07, 2019","1,335.80","1,335.80","1,335.80","1,335.80","0.12K","0.13%"
