"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2017","100.41","100.36","100.45","100.02","-","0.11%"
"Mar 17, 2017","100.30","100.24","100.47","100.14","-","-0.06%"
"Mar 16, 2017","100.36","100.56","100.75","100.21","-","-0.38%"
"Mar 15, 2017","100.74","101.71","101.72","100.49","-","-0.94%"
"Mar 14, 2017","101.70","101.40","101.79","101.34","-","0.38%"
"Mar 13, 2017","101.31","101.31","101.39","101.01","-","0.06%"
"Mar 10, 2017","101.25","101.99","102.00","101.17","-","-0.59%"
"Mar 09, 2017","101.85","102.11","102.25","101.70","-","-0.22%"
"Mar 08, 2017","102.07","101.79","102.19","101.71","-","0.26%"
"Mar 07, 2017","101.81","101.68","101.91","101.53","-","0.17%"
"Mar 06, 2017","101.64","101.40","101.75","101.22","-","0.10%"
"Mar 03, 2017","101.54","102.13","102.17","101.34","-","-0.65%"
"Mar 02, 2017","102.20","101.92","102.26","101.78","-","0.41%"
"Mar 01, 2017","101.78","101.43","101.97","101.23","-","0.65%"
"Feb 28, 2017","101.12","101.21","101.40","100.78","-","-0.01%"
"Feb 27, 2017","101.13","101.11","101.27","100.69","-","0.04%"
"Feb 24, 2017","101.09","100.95","101.17","100.66","-","0.04%"
"Feb 23, 2017","101.05","101.38","101.44","100.87","-","-0.17%"
"Feb 22, 2017","101.22","101.40","101.72","101.17","-","-0.15%"
"Feb 21, 2017","101.37","100.93","101.60","100.91","-","0.42%"
"Feb 20, 2017","100.95","100.93","100.98","100.77","-","0.00%"
"Feb 17, 2017","100.95","100.52","100.96","100.45","-","0.51%"
"Feb 16, 2017","100.44","101.05","101.07","100.41","-","-0.73%"
"Feb 15, 2017","101.18","101.22","101.76","101.00","-","-0.07%"
"Feb 14, 2017","101.25","100.98","101.38","100.70","-","0.29%"
"Feb 13, 2017","100.96","100.84","101.11","100.58","-","0.16%"
"Feb 10, 2017","100.80","100.67","101.01","100.58","-","0.15%"
"Feb 09, 2017","100.65","100.22","100.68","100.08","-","0.37%"
"Feb 08, 2017","100.28","100.44","100.64","100.06","-","0.02%"
"Feb 07, 2017","100.26","99.93","100.72","99.91","-","0.35%"
"Feb 06, 2017","99.91","99.65","100.25","99.63","-","0.04%"
"Feb 03, 2017","99.87","99.79","100.26","99.56","-","0.08%"
"Feb 02, 2017","99.79","99.76","99.87","99.23","-","0.15%"
"Feb 01, 2017","99.64","99.56","100.04","99.50","-","0.13%"
"Jan 31, 2017","99.51","100.33","100.51","99.43","-","-0.92%"
"Jan 30, 2017","100.43","100.32","101.02","100.17","-","-0.10%"
"Jan 27, 2017","100.53","100.49","100.82","100.32","-","0.15%"
"Jan 26, 2017","100.38","99.91","100.73","99.79","-","0.35%"
"Jan 25, 2017","100.03","100.31","100.41","99.83","-","-0.32%"
"Jan 24, 2017","100.35","100.08","100.43","99.92","-","0.19%"
"Jan 23, 2017","100.16","100.74","100.74","99.90","-","-0.58%"
"Jan 20, 2017","100.74","101.17","101.50","100.70","-","-0.41%"
"Jan 19, 2017","101.15","101.35","101.73","100.97","-","0.22%"
"Jan 18, 2017","100.93","100.43","101.34","100.32","-","0.60%"
"Jan 17, 2017","100.33","101.54","101.62","100.26","-","-0.84%"
"Jan 16, 2017","101.18","101.66","101.73","101.32","-","0.00%"
"Jan 13, 2017","101.18","101.51","101.67","101.01","-","-0.17%"
"Jan 12, 2017","101.35","101.67","101.80","100.72","-","-0.42%"
"Jan 11, 2017","101.78","102.07","102.95","101.28","-","-0.23%"
"Jan 10, 2017","102.01","101.85","102.10","101.51","-","0.08%"
"Jan 09, 2017","101.93","102.25","102.52","101.80","-","-0.28%"
"Jan 06, 2017","102.22","101.40","102.29","101.37","-","0.69%"
"Jan 05, 2017","101.52","102.45","102.51","101.30","-","-1.15%"
"Jan 04, 2017","102.70","103.17","103.44","102.39","-","-0.49%"
"Jan 03, 2017","103.21","102.88","103.82","102.59","-","0.37%"
"Jan 02, 2017","102.83","102.38","102.94","102.21","-","0.61%"
